"artist","song","earliest","highestRank","year"
"Eric Church","Desperate Man",2018-07-28,"
68
",2018
"Eric Church","Round Here Buzz",2017-10-14,"
56
",2017
"Eric Church Featuring Rhiannon Giddens","Kill A Word",2017-01-14,"
71
",2017
"Famous Dex","Japan",2018-04-07,"
28
",2018
"Famous Dex Featuring A$AP Rocky","Pick It Up",2017-12-02,"
54
",2017
"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian","Krippy Kush",2017-12-16,"
75
",2017
"Fifth Harmony Featuring Gucci Mane","Down",2017-06-24,"
42
",2017
"Fitz And The Tantrums","HandClap",2017-01-07,"
53
",2017
"FLETCHER","Undrunk",2019-03-23,"
61
",2019
"Flipp Dinero","Leave Me Alone",2018-09-29,"
20
",2018
"Flo Rida & 99 Percent","Cake",2017-04-29,"
73
",2017
"Florida Georgia Line","Simple",2018-06-16,"
32
",2018
"Florida Georgia Line","Smooth",2017-10-21,"
89
",2017
"Florida Georgia Line","Talk You Out Of It",2019-03-02,"
80
",2019
"Florida Georgia Line Featuring Backstreet Boys","God, Your Mama, And Me",2017-03-18,"
46
",2017
"Florida Georgia Line Featuring Tim McGraw","May We All",2017-01-07,"
42
",2017
"Flume Featuring Tove Lo","Say It",2017-02-04,"
94
",2017
"Foster The People","Sit Next To Me",2018-03-31,"
42
",2018
"Frank Ocean","Chanel",2017-04-01,"
72
",2017
"Frank Sinatra","Jingle Bells",2019-01-05,"
49
",2019
"French Montana Featuring Drake","No Stylist",2018-10-06,"
 73
",2018
"French Montana Featuring Swae Lee","Unforgettable",2017-04-29,"
10
",2017
"French Montana Featuring The Weeknd & Max B","A Lie",2017-08-05,"
75
",2017
"Future","31 Days",2018-07-21,"
65
",2018
"Future","4 Da Gang",2017-11-11,"
92
",2017
"Future","Call The Coroner",2019-02-02,"
100
",2019
"Future","Crushed Up",2019-01-19,"
43
",2019
"Future","Cuddle My Wrist",2018-07-21,"
71
",2018
"Future","Draco",2017-03-11,"
46
",2017
"Future","F&N",2019-02-02,"
83
",2019
"Future","Feed Me Dope",2017-11-11,"
68
",2017
"Future","Jumpin On A Jet",2019-01-26,"
 80
",2019
"Future","Mask Off",2017-03-11,"
11
",2017
"Future","Never Stop",2019-02-02,"
65
",2019
"Future","Racks Blue",2018-07-21,"
76
",2018
"Future","Rent Money",2017-03-11,"
54
",2017
"Future","Rocket Ship",2019-02-02,"
79
",2019
"Future","Super Trapper",2017-03-11,"
91
",2017
"Future","Temptation",2019-02-02,"
76
",2019
"Future","Wifi Lit",2018-07-21,"
53
",2018
"Future","Zoom",2017-03-11,"
99
",2017
"Future & Juice WRLD","Astronauts",2018-11-03,"
 82
",2018
"Future & Juice WRLD","Fine China",2018-11-03,"
26
",2018
"Future & Juice WRLD Featuring Young Scooter","Jet Lag",2018-11-03,"
72
",2018
"Future & Young Thug","All Da Smoke",2017-11-11,"
77
",2017
"Future & Young Thug","No Cap",2017-11-11,"
62
",2017
"Future & Young Thug","Three",2017-11-11,"
100
",2017
"Future & Young Thug Featuring Offset","Patek Water",2017-11-11,"
100
",2017
"Future Featuring Drake","Used To This",2017-01-07,"
45
",2017
"Future Featuring Nicki Minaj","You Da Baddest",2017-08-19,"
38
",2017
"Future Featuring Rihanna","Selfish",2017-03-18,"
37
",2017
"Future Featuring The Weeknd","Comin Out Strong",2017-03-18,"
48
",2017
"Future Featuring Travis Scott","First Off",2019-02-02,"
47
",2019
"Future Featuring YG","Extra Luv",2017-07-22,"
99
",2017
"G-Eazy","The Plan",2017-12-02,"
96
",2017
"G-Eazy & Halsey","Him & I",2017-12-23,"
14
",2017
"G-Eazy & Kehlani","Good Life",2017-05-06,"
59
",2017
"G-Eazy Featuring A$AP Rocky & Cardi B","No Limit",2017-09-30,"
10
",2017
"G-Eazy Featuring Marc E. Bassy","Some Kind Of Drug",2017-02-18,"
100
",2017
"G-Eazy Featuring Yo Gotti & YBN Nahmir","1942",2018-07-28,"
70
",2018
"Garth Brooks","Ask Me How I Know",2017-11-04,"
71
",2017
"Gene Autry","Here Comes Santa Claus (Down Santa Claus Lane)",2018-12-22,"
28
",2018
"Gene Autry","Rudolph The Red-Nosed Reindeer",2018-12-15,"
16
",2018
"George Michael","Faith",2017-01-14,"
47
",2017
"Gesaffelstein & The Weeknd","Lost In The Fire",2019-01-26,"
27
",2019
"gnash Featuring Olivia O'Brien","I Hate U I Love U",2017-01-07,"
31
",2017
"GoldLink Featuring Brent Faiyaz & Shy Glizzy","Crew",2017-07-15,"
45
",2017
"Gorillaz Featuring George Benson","Humility",2018-06-16,"
85
",2018
"Granger Smith","If The Boot Fits",2017-01-28,"
100
",2017
"Gucci Mane & Nicki Minaj","Make Love",2017-03-18,"
78
",2017
"Gucci Mane Featuring Drake","Both",2017-01-07,"
41
",2017
"Gucci Mane Featuring Migos","I Get The Bag",2017-09-09,"
11
",2017
"Gucci Mane Featuring Offset","Met Gala",2017-06-17,"
88
",2017
"Gucci Mane Featuring Slim Jxmmi & Young Dolph","Stunting Ain't Nuthin",2017-11-04,"
95
",2017
"Gucci Mane Featuring The Weeknd","Curve",2017-10-07,"
67
",2017
"Gucci Mane X Bruno Mars X Kodak Black","Wake Up In The Sky",2018-09-29,"
11
",2018
"Gunna","One Call",2019-02-16,"
56
",2019
"Gunna","Outstanding",2019-03-09,"
70
",2019
"Gunna","Speed It Up",2019-03-09,"
91
",2019
"Gunna","Wit It",2019-03-09,"
75
",2019
"Gunna Featuring Playboi Carti","Same Yung N***a",2019-03-09,"
97
",2019
"Gunna Featuring Young Thug","3 Headed Snake",2019-03-09,"
74
",2019
"H.E.R.","Focus",2018-04-14,"
100
",2018
"H.E.R. Featuring Bryson Tiller","Could've Been",2018-08-18,"
76
",2018
"Hailee Steinfeld","Most Girls",2017-06-10,"
58
",2017
"Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt","Let Me Go",2017-09-30,"
 40
",2017
"Hailee Steinfeld & Grey Featuring Zedd","Starving",2017-01-07,"
17
",2017
"Halsey","Bad At Love",2017-09-23,"
 5
",2017
"Halsey","Not Afraid Anymore",2017-02-04,"
77
",2017
"Halsey","Now Or Never",2017-04-29,"
17
",2017
"Halsey","Without Me",2018-10-20,"
1
",2018
"Halsey Featuring Big Sean & Stefflon Don","Alone",2018-04-21,"
100
",2018
"Halsey Featuring Lauren Jauregui","Strangers",2017-06-17,"
100
",2017
"Harry Styles","Sign Of The Times",2017-04-29,"
17
",2017
"Harry Styles","Sweet Creature",2017-05-20,"
93
",2017
"Hey Violet","Guys My Age",2017-02-11,"
68
",2017
"High Valley","She's With Me",2018-03-10,"
79
",2018
"Hikaru Utada & Skrillex","Face My Fears",2019-02-02,"
98
",2019
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble","The Greatest Show",2018-01-13,"
88
",2018
"Huncho Jack","Black & Chinese",2018-01-06,"
71
",2018
"Huncho Jack","Huncho Jack",2018-01-06,"
87
",2018
"Huncho Jack","Modern Slavery",2018-01-06,"
68
",2018
"Huncho Jack","Motorcycle Patches",2018-01-06,"
90
",2018
"Huncho Jack","Saint",2018-01-06,"
92
",2018
"Huncho Jack Featuring Offset","Dubai Shit",2018-01-06,"
83
",2018
"Huncho Jack Featuring Takeoff","Eye 2 Eye",2018-01-06,"
65
",2018
"Iggy Azalea","Sally Walker",2019-03-30,"
62
",2019
"Iggy Azalea Feauring Tyga","Kream",2018-07-21,"
96
",2018
"Imagine Dragons","Bad Liar",2018-11-24,"
56
",2018
"Imagine Dragons","Believer",2017-02-25,"
11
",2017
"Imagine Dragons","Natural",2018-08-04,"
13
",2018
"Imagine Dragons","Thunder",2017-05-20,"
10
",2017
"Imagine Dragons","Whatever It Takes",2017-06-03,"
12
",2017
"Imagine Dragons + Khalid","Thunder/Young Dumb & Broke (Medley)",2018-01-06,"
69
",2018
"J Balvin & Willy William Featuring Beyonce","Mi Gente",2017-07-22,"
10
",2017
"J. Cole","1985 (Intro To The Fall Off)",2018-05-05,"
20
",2018
"J. Cole","Album Of The Year (Freestyle)",2018-08-25,"
87
",2018
"J. Cole","ATM",2018-05-05,"
42
",2018
"J. Cole","Brackets",2018-05-05,"
30
",2018
"J. Cole","Change",2017-01-07,"
83
",2017
"J. Cole","Deja Vu",2017-01-07,"
100
",2017
"J. Cole","Foldin Clothes",2017-01-07,"
98
",2017
"J. Cole","For Whom The Bell Tolls",2017-01-07,"
93
",2017
"J. Cole","Immortal",2017-01-07,"
59
",2017
"J. Cole","Intro",2018-05-05,"
53
",2018
"J. Cole","Kevin's Heart",2018-05-05,"
48
",2018
"J. Cole","KOD",2018-05-05,"
10
",2018
"J. Cole","Middle Child",2019-02-02,"
10
",2019
"J. Cole","Motiv8",2018-05-05,"
15
",2018
"J. Cole","Neighbors",2017-01-07,"
54
",2017
"J. Cole","Once An Addict (Interlude)",2018-05-05,"
47
",2018
"J. Cole","Photograph",2018-05-05,"
14
",2018
"J. Cole","She's Mine Pt.1",2017-01-07,"
89
",2017
"J. Cole","Ville Mentality",2017-01-07,"
90
",2017
"J. Cole","Window Pain (Outro)",2018-05-05,"
41
",2018
"J. Cole Featuring kiLL edward","Friends",2018-05-05,"
46
",2018
"J. Cole Featuring kiLL edward","The Cut Off",2018-05-05,"
28
",2018
"Jacquees","B.E.D.",2017-08-26,"
69
",2017
"Jacquees","You",2018-12-08,"
100
",2018
"Jacquees X Dej Loaf","At The Club",2018-02-17,"
86
",2018
"Jake Owen","Down To The Honkytonk",2019-01-12,"
65
",2019
"Jake Owen","I Was Jack (You Were Diane)",2018-06-09,"
43
",2018
"Jake Paul & Erika Costell Featuring Uncle Kade","Jerika",2017-08-05,"
86
",2017
"Jake Paul Featuring Team 10","It's Everyday Bro",2017-06-24,"
91
",2017
"James Arthur","Say You Won't Let Go",2017-01-07,"
11
",2017
"Janelle Monae","Make Me Feel",2018-03-10,"
99
",2018
"Janet & Daddy Yankee","Made For Now",2018-09-01,"
88
",2018
"Jason Aldean","Any Ol' Barstool",2017-02-11,"
 54
",2017
"Jason Aldean","Girl Like You",2018-12-01,"
 55
",2018
"Jason Aldean","They Don't Know",2017-08-19,"
67
",2017
"Jason Aldean","You Make It Easy",2018-02-10,"
 38
",2018
"Jason Aldean Featuring Miranda Lambert","Drowns The Whiskey",2018-06-30,"
100
",2018
"Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign","Swalla",2017-04-08,"
29
",2017
"Jason Mraz","Have It All",2018-08-25,"
90
",2018
"Jay Rock, Kendrick Lamar, Future & James Blake","King's Dead",2018-01-27,"
21
",2018
"JAY-Z","4:44",2017-07-29,"
35
",2017
"JAY-Z","Kill Jay Z",2017-07-29,"
55
",2017
"JAY-Z","Marcy Me",2017-07-29,"
90
",2017
"JAY-Z","Moonlight",2017-07-29,"
86
",2017
"JAY-Z","The Story Of O.J.",2017-07-29,"
23
",2017
"JAY-Z Featuring Beyonce","Family Feud",2017-07-29,"
51
",2017
"JAY-Z Featuring Damian \Jr. Gong\ Marely","Bam",2017-07-29,"
47
",2017
"JAY-Z Featuring Frank Ocean","Caught Their Eyes",2017-07-29,"
63
",2017
"JAY-Z Featuring Gloria Carter","Smile",2017-07-29,"
56
",2017
"Jennifer Lopez Featuring DJ Khaled & Cardi B","Dinero",2018-06-09,"
80
",2018
"Jhene Aiko Featuring Swae Lee Or Rae Sremmurd","Sativa",2018-03-17,"
100
",2018
"Jimmie Allen","Best Shot",2018-09-29,"
37
",2018
"John & Yoko/The Plastic Ono Band With The Harlem Community Choir","Happy Xmas (War Is Over)",2018-12-29,"
42
",2018
"John Legend","Love Me Now",2017-01-07,"
30
",2017
"John Mayer","I Guess I Just Feel Like",2019-03-09,"
94
",2019
"John Mayer","Love On The Weekend",2017-02-11,"
91
",2017
"Joji","Slow Dancing In The Dark",2019-03-30,"
96
",2019
"Jon Bellion","All Time Low",2017-01-07,"
 33
",2017
"Jon Pardi","Dirt On My Boots",2017-01-07,"
37
",2017
"Jon Pardi","Heartache On The Dance Floor",2017-07-22,"
47
",2017
"Jon Pardi","Night Shift",2019-02-09,"
81
",2019
"Jonas Brothers","Sucker",2019-03-16,"
1
",2019
"Jordan Davis","Singles You Up",2018-02-17,"
50
",2018
"Jordan Davis","Take It From Me",2019-01-12,"
46
",2019
"Jose Feliciano","Feliz Navidad",2017-01-07,"
29
",2017
"Josh Turner","Hometown Girl",2017-03-18,"
56
",2017
"Joyner Lucas & Chris Brown","Stranger Things",2018-03-17,"
91
",2018
"Juice WRLD","All Girls Are The Same",2018-05-26,"
41
",2018
"Juice WRLD","Armed And Dangerous",2018-11-24,"
44
",2018
"Juice WRLD","Empty",2019-03-23,"
41
",2019
"Juice WRLD","Fast",2019-03-23,"
47
",2019
"Juice WRLD","Flaws And Sins",2019-03-23,"
91
",2019
"Juice WRLD","Hear Me Calling",2019-03-16,"
38
",2019
"Juice WRLD","Lean Wit Me",2018-08-18,"
68
",2018
"Juice WRLD","Legends",2018-07-07,"
65
",2018
"Juice WRLD","Lucid Dreams",2018-05-26,"
 7
",2018
"Juice WRLD","Make It Back",2018-11-03,"
92
",2018
"Juice WRLD","Maze",2019-03-23,"
65
",2019
"Juice WRLD","Robbery",2019-03-02,"
27
",2019
"Juice WRLD Featuring Lil Uzi Vert","Wasted",2018-07-28,"
100
",2018
"Julia Michaels","Issues",2017-02-11,"
11
",2017
"Justin Bieber + BloodPop","Friends",2017-09-09,"
20
",2017
"Justin Moore","Somebody Else Will",2017-06-24,"
59
",2017
"Justin Timberlake","Can't Stop The Feeling!",2017-01-07,"
13
",2017
"Justin Timberlake","Filthy",2018-01-20,"
29
",2018
"Justin Timberlake","Man Of The Woods",2018-02-17,"
73
",2018
"Justin Timberlake","Supplies",2018-02-03,"
100
",2018
"Justin Timberlake Featuring Chris Stapleton","Say Something",2018-02-10,"
100
",2018
"Kacey Musgraves","Rainbow",2019-02-23,"
98
",2019
"Kaleo","Way Down We Go",2017-01-14,"
54
",2017
"Kane Brown","Found You",2017-09-30,"
80
",2017
"Kane Brown","Good As You",2019-03-09,"
59
",2019
"Kane Brown","Heaven",2017-10-28,"
15
",2017
"Kane Brown","Lose It",2018-06-23,"
28
",2018
"Kane Brown Featuring Lauren Alaina","What Ifs",2017-07-01,"
26
",2017
"Kanye West","All Mine",2018-06-16,"
11
",2018
"Kanye West","I Thought About Killing You",2018-06-16,"
28
",2018
"Kanye West","No Mistakes",2018-06-16,"
36
",2018
"Kanye West","Violent Crimes",2018-06-16,"
27
",2018
"Kanye West","Yikes",2018-06-16,"
40
",2018
"Kanye West & Lil Pump","I Love It",2018-09-22,"
17
",2018
"Kanye West Featuring PARTYNEXTDOOR","Ghost Town",2018-06-16,"
16
",2018
"Kanye West Featuring PARTYNEXTDOOR","Wouldn't Leave",2018-06-16,"
24
",2018
"Kanye West Featuring T.I.","Ye vs The People",2018-05-12,"
85
",2018
"Katy Perry","Cozy Little Christmas",2018-12-29,"
53
",2018
"Katy Perry Featuring Migos","Bon Appetit",2017-05-20,"
 59
",2017
"Katy Perry Featuring Nicki Minaj","Swish Swish",2017-06-10,"
46
",2017
"Katy Perry Featuring Skip Marley","Chained To The Rhythm",2017-03-04,"
12
",2017
"Keala Settle & The Greatest Showman Ensemble","This Is Me",2018-01-13,"
58
",2018
"Kehlani Featuring Ty Dolla $ign","Nights Like This",2019-01-26,"
67
",2019
"Keith Urban","Blue Ain't Your Color",2017-01-07,"
28
",2017
"Keith Urban","Female",2017-12-02,"
100
",2017
"Keith Urban Featuring Carrie Underwood","The Fighter",2017-03-04,"
 56
",2017
"Keith Urban Featuring Julia Michaels","Coming Home",2018-07-07,"
50
",2018
"Kelly Clarkson","Love So Soft",2017-09-30,"
47
",2017
"Kelly Clarkson","Underneath The Tree",2019-01-05,"
44
",2019
"Kelsea Ballerini","Legends",2017-12-16,"
100
",2017
"Kelsea Ballerini","Miss Me More",2019-02-16,"
60
",2019
"Kelsea Ballerini","Yeah Boy",2017-03-04,"
100
",2017
"Kendrick Lamar","Black Panther",2018-02-24,"
91
",2018
"Kendrick Lamar","Blood.",2017-05-06,"
54
",2017
"Kendrick Lamar","DNA.",2017-05-06,"
12
",2017
"Kendrick Lamar","Duckworth.",2017-05-06,"
63
",2017
"Kendrick Lamar","Element.",2017-05-06,"
100
",2017
"Kendrick Lamar","Fear.",2017-05-06,"
50
",2017
"Kendrick Lamar","Feel.",2017-05-06,"
35
",2017
"Kendrick Lamar","God.",2017-05-06,"
58
",2017
"Kendrick Lamar","Humble.",2017-04-22,"
1
",2017
"Kendrick Lamar","Lust.",2017-05-06,"
42
",2017
"Kendrick Lamar","Pride.",2017-05-06,"
37
",2017
"Kendrick Lamar","The Heart Part 4",2017-04-15,"
22
",2017
"Kendrick Lamar","Yah.",2017-05-06,"
32
",2017
"Kendrick Lamar & SZA","All The Stars",2018-01-20,"
10
",2018
"Kendrick Lamar & Travis Scott","Big Shot",2018-02-24,"
71
",2018
"Kendrick Lamar Featuring Rihanna","Loyalty.",2017-05-06,"
14
",2017
"Kendrick Lamar Featuring U2","XXX.",2017-05-06,"
33
",2017
"Kendrick Lamar Featuring Zacari","Love.",2017-05-06,"
11
",2017
"Kenny Chesney","All The Pretty Girls",2017-08-19,"
63
",2017
"Kenny Chesney","Bar At The End Of The World",2017-04-29,"
92
",2017
"Kenny Chesney","Get Along",2018-04-21,"
 64
",2018
"Kesha","Learn To Let Go",2017-08-19,"
97
",2017
"Kesha","Praying",2017-07-29,"
22
",2017
"Kesha Featuring The Dap-Kings Horns","Woman",2017-08-05,"
96
",2017
"Kevin Gates","Change Lanes",2018-06-02,"
68
",2018
"Kevin Gates","Let It Sing",2018-06-02,"
82
",2018
"Khalid","Better",2018-09-29,"
16
",2018
"Khalid","Location",2017-01-28,"
16
",2017
"Khalid","My Bad",2019-03-23,"
77
",2019
"Khalid","Talk",2019-02-23,"
39
",2019
"Khalid","Vertigo",2018-11-03,"
89
",2018
"Khalid","Young Dumb & Broke",2017-08-05,"
 41
",2017
"Khalid & Kane Brown","Saturday Nights",2018-11-03,"
57
",2018
"Khalid & Normani","Love Lies",2018-03-03,"
 18
",2018
"Khalid & Swae Lee","The Ways",2018-02-24,"
63
",2018
"Khalid Featuring Empress Of","Suncity",2018-11-03,"
88
",2018
"Khalid, Ty Dolla $ign & 6LACK","OTW",2018-05-05,"
57
",2018
"KIDS SEE GHOSTS","Cudi Montage",2018-06-23,"
69
",2018
"KIDS SEE GHOSTS","Feel The Love",2018-06-23,"
47
",2018
"KIDS SEE GHOSTS","Fire",2018-06-23,"
67
",2018
"KIDS SEE GHOSTS","Freeee (Ghost Town, Pt. 2)",2018-06-23,"
62
",2018
"KIDS SEE GHOSTS","KIDS SEE GHOSTS",2018-06-23,"
73
",2018
"KIDS SEE GHOSTS","Reborn",2018-06-23,"
39
",2018
"KIDS SEE GHOSTS Featuring Louis Prima","4th Dimension",2018-06-23,"
42
",2018
"Kip Moore","Last Shot",2018-11-24,"
53
",2018
"Kip Moore","More Girls Like You",2017-09-02,"
66
",2017
"Kodak Black","Calling My Spirit",2018-12-15,"
46
",2018
"Kodak Black","Everything 1K",2017-03-04,"
84
",2017
"Kodak Black","First Day Out",2017-07-08,"
61
",2017
"Kodak Black","If I'm Lyin, I'm Flyin",2018-10-13,"
56
",2018
"Kodak Black","No Flockin",2017-01-14,"
95
",2017
"Kodak Black","Patty Cake",2017-08-26,"
76
",2017
"Kodak Black","Take One",2018-12-01,"
81
",2018
"Kodak Black","Testimony",2018-12-29,"
74
",2018
"Kodak Black","Transportin'",2017-09-09,"
46
",2017
"Kodak Black","Tunnel Vision",2017-03-11,"
 8
",2017
"Kodak Black Featuring Future","Conscience",2017-04-22,"
93
",2017
"Kodak Black Featuring Juice WRLD","MoshPit",2018-12-29,"
58
",2018
"Kodak Black Featuring Lil Pump","Gnarly",2018-12-29,"
88
",2018
"Kodak Black Featuring Lil Wayne","Codeine Dreaming",2017-12-16,"
52
",2017
"Kodak Black Featuring Travis Scott & Offset","ZEZE",2018-10-27,"
10
",2018
"Kodak Black Featuring XXXTENTACION","Roll In Peace",2017-09-09,"
31
",2017
"Kris Wu","Like That",2018-06-02,"
73
",2018
"Kygo & Ellie Goulding","First Time",2017-05-20,"
67
",2017
"Kygo & Imagine Dragons","Born To Be Yours",2018-06-30,"
74
",2018
"Kygo Featuring Miguel","Remind Me To Forget",2018-07-28,"
63
",2018
"Kygo x Selena Gomez","It Ain't Me",2017-03-04,"
10
",2017
"KYLE Featuring Lil Yachty","iSpy",2017-01-14,"
10
",2017
"Labrinth, Sia & Diplo Present... LSD","Thunderclouds",2018-09-15,"
67
 ",2018
"Lady Antebellum","You Look Good",2017-04-22,"
59
",2017
"Lady Gaga","Always Remember Us This Way",2018-10-20,"
100
",2018
"Lady Gaga","Bad Romance",2017-02-25,"
50
",2017
"Lady Gaga","I'll Never Love Again",2018-10-20,"
36
",2018
"Lady Gaga","Is That Alright?",2018-10-20,"
63
",2018
"Lady Gaga","Million Reasons",2017-01-07,"
18
",2017
"Lady Gaga","The Cure",2017-05-06,"
39
",2017
"Lady Gaga & Bradley Cooper","Shallow",2018-10-13,"
 38
",2018
"Lana Del Rey","Love",2017-03-11,"
44
",2017
"Lana Del Rey Featuring The Weeknd","Lust For Life",2017-05-13,"
64
",2017
"LANCO","Greatest Love Story",2017-09-23,"
45
",2017
"Lauren Alaina","Road Less Traveled",2017-02-11,"
67
",2017
"Lauren Daigle","The Christmas Song",2018-12-29,"
55
",2018
"Lauren Daigle","You Say",2018-07-28,"
29
",2018
"Lauren Duski","Deja Vu",2017-06-10,"
43
",2017
"Lauren Duski","Ghost In This House",2017-06-03,"
98
",2017
"Lauren Duski","The Dance",2017-06-10,"
92
",2017
"Lauv","I Like Me Better",2018-02-24,"
 37
",2018
"Lauv & Troye Sivan","I'm So Tired...",2019-02-09,"
86
",2019
"Lee Brice","Boy",2017-06-10,"
94
",2017
"Lee Brice","Rumor",2019-03-23,"
83
",2019
"Liam Payne","Bedroom Floor",2017-11-11,"
98
",2017
"Liam Payne & Rita Ora","For You (Fifty Shades Freed)",2018-01-20,"
76
",2018
"Liam Payne Featuring Quavo","Strip That Down",2017-06-10,"
10
",2017
"Lil Baby","Close Friends",2018-10-20,"
28
",2018
"Lil Baby","Crush A Lot",2018-12-15,"
82
",2018
"Lil Baby","Deep End",2018-10-20,"
97
",2018
"Lil Baby","Global",2018-12-15,"
91
",2018
"Lil Baby","My Dawg",2017-12-30,"
71
",2017
"Lil Baby","Pure Cocaine",2018-12-15,"
 89
",2018
"Lil Baby","Southside",2018-06-02,"
79
",2018
"Lil Baby","Word On The Street",2018-12-15,"
98
",2018
"Lil Baby & Drake","Yes Indeed",2018-05-26,"
11
",2018
"Lil Baby & Gunna","Belly",2018-10-20,"
80
",2018
"Lil Baby & Gunna","Business Is Business",2018-10-20,"
61
",2018
"Lil Baby & Gunna","Drip Too Hard",2018-09-29,"
 4
",2018
"Lil Baby & Gunna","I Am",2018-10-20,"
98
",2018
"Lil Baby & Gunna Featuring Drake","Never Recover",2018-10-20,"
15
",2018
"Lil Baby & Gunna Featuring Lil Durk & NAV","Off White VLONE",2018-10-20,"
54
",2018
"Lil Baby Featuring Gunna","Ready",2018-12-15,"
66
",2018
"Lil Baby Featuring Gunna & Lil Uzi Vert","Life Goes On",2018-06-02,"
74
",2018
"Lil Baby Featuring Meek Mill","Time",2018-12-15,"
62
",2018
"Lil Dicky Featuring Chris Brown","Freaky Friday",2018-03-31,"
11
",2018
"Lil Mosey","Kamikaze",2018-11-10,"
97
",2018
"Lil Mosey","Noticed",2018-09-29,"
100
",2018
"Lil Nas X","Old Town Road",2019-03-16,"
1
",2019
"Lil Peep","Awful Things",2017-12-09,"
79
",2017
"Lil Peep & iLoveMakonnen Featuring Fall Out Boy","I've Been Waiting",2019-03-23,"
75
",2019
"Lil Peep & XXXTENTACION","Falling Down",2018-09-29,"
13
",2018
"Lil Pump","Butterfly Doors",2019-01-19,"
81
",2019
"Lil Pump","Drug Addicts",2018-07-21,"
83
",2018
"Lil Pump","Esskeetit",2018-04-28,"
24
",2018
"Lil Pump","Gucci Gang",2017-09-30,"
11
",2017
"Lil Pump Featuring Lil Wayne","Be Like Me",2019-03-09,"
72
",2019
"Lil Skies","I",2019-03-16,"
39
",2019
"Lil Skies","Lust",2018-05-26,"
87
",2018
"Lil Skies Featuring Landon Cube","Nowadays",2018-01-20,"
55
",2018
"Lil Skies Featuring Landon Cube","Red Roses",2018-01-20,"
100
",2018
"Lil Skies Featuring Yung Pinch","I Know You",2018-06-23,"
79
",2018
"Lil Uzi Vert","444+222",2017-09-16,"
100
",2017
"Lil Uzi Vert","Dark Queen",2017-09-16,"
91
",2017
"Lil Uzi Vert","For Real",2017-09-16,"
82
",2017
"Lil Uzi Vert","New Patek",2018-09-29,"
24
",2018
"Lil Uzi Vert","No Sleep Leak",2017-09-16,"
90
",2017
"Lil Uzi Vert","Sauce It Up",2017-09-16,"
100
",2017
"Lil Uzi Vert","Two",2017-09-16,"
80
",2017
"Lil Uzi Vert","X",2017-09-16,"
81
",2017
"Lil Uzi Vert","XO TOUR Llif3",2017-04-15,"
10
",2017
"Lil Uzi Vert","You Was Right",2017-01-07,"
40
",2017
"Lil Uzi Vert Featuring Nicki Minaj","The Way Life Goes",2017-09-16,"
24
",2017
"Lil Uzi Vert Featuring Pharrell Williams","Neon Guts",2017-09-16,"
79
",2017
"Lil Uzi Vert Featuring The Weeknd","UnFazed",2017-09-16,"
84
",2017
"Lil Wayne","Can't Be Broken",2018-10-13,"
17
",2018
"Lil Wayne","Dedicate",2018-10-13,"
14
",2018
"Lil Wayne","Demon",2018-10-13,"
81
",2018
"Lil Wayne","Hittas",2018-10-13,"
59
",2018
"Lil Wayne","Let It All Work Out",2018-10-13,"
75
",2018
"Lil Wayne","Mess",2018-10-13,"
74
",2018
"Lil Wayne","Open Letter",2018-10-13,"
47
",2018
"Lil Wayne","Open Safe",2018-10-13,"
62
",2018
"Lil Wayne","Perfect Strangers",2018-10-13,"
86
",2018
"Lil Wayne","Problems",2018-10-13,"
57
",2018
"Lil Wayne","Took His Time",2018-10-13,"
65
",2018
"Lil Wayne","Uproar",2018-10-13,"
29
",2018
"Lil Wayne","Used 2",2018-10-13,"
78
",2018
"Lil Wayne Featuring Ashanti & Mack Maine","Start This S**t Off Right",2018-10-13,"
76
",2018
"Lil Wayne Featuring Kendrick Lamar","Mona Lisa",2018-10-13,"
2
",2018
"Lil Wayne Featuring Nicki Minaj","Dark Side Of The Moon",2018-10-13,"
26
",2018
"Lil Wayne Featuring Nivea","Dope New Gospel",2018-10-13,"
90
",2018
"Lil Wayne Featuring Reginae Carter","Famous",2018-10-13,"
36
",2018
"Lil Wayne Featuring Snoop Dogg","Dope N****z",2018-10-13,"
 39
",2018
"Lil Wayne Featuring Sosamann","What About Me",2018-10-13,"
24
",2018
"Lil Wayne Featuring Travis Scott","Let It Fly",2018-10-13,"
10
",2018
"Lil Wayne Featuring XXXTENTACION","Don't Cry",2018-10-13,"
5
",2018
"Lil Xan","Betrayed",2017-12-02,"
64
",2017
"Lil Yachty","1 Night",2017-01-07,"
67
",2017
"Lil Yachty Featuring Juice WRLD","Yacht Club",2018-11-03,"
91
",2018
"Lil Yachty Featuring Migos","Peek A Boo",2017-05-06,"
78
",2017
"Lil Yachty Featuring NBA YoungBoy","NBAYoungboat",2018-03-24,"
63
",2018
"Lil Yachty Featuring Playboi Carti","Get Dripped",2018-11-03,"
98
",2018
"Lil Yachty Featuring Trippie Redd","66",2018-03-24,"
73
",2018
"Lil Yachty Featuring Ugly God","Boom!",2018-03-24,"
88
",2018
